Amarillo|0000001, 12, 1, 4, 2, 6, 3, 8, 20, 13, 16, 11, 15, 19, 7 
Rojo|0066006, 8, 9, 3, 20, 17, 14, 12, 10, 16, 5, 11
Amarillo|0000012, 9, 3, 15, 20, 10, 12, 13, 4, 6, 5, 14, 16, 1, 7 
Azul|0076543, 20, 6, 5, 2, 13, 12, 19, 9, 17, 18, 14, 4, 10, 11
Azul|0765432, 11, 9, 18, 5, 17, 10, 14, 8, 7, 2, 12, 1, 20, 4
Amarillo|0000123, 7, 8, 19, 4, 17, 14, 10, 13, 5, 11, 20, 6, 9, 15
Rojo|0022002, 17, 1, 3, 16, 2, 4, 8, 14, 7, 19, 13
Rojo|0033003, 4, 11, 9, 1, 2, 20, 16, 8, 6, 13, 17
Amarillo|0001234, 5, 14, 9, 1, 11, 18, 13, 16, 3, 17, 10, 20, 2, 7 
Amarillo|0012345, 20, 2, 19, 1, 3, 17, 4, 15, 18, 13, 10, 8, 7, 16
Amarillo|0123456, 20, 16, 12, 13, 11, 7, 5, 17, 10, 4, 2, 19, 18, 1
Azul|0000076, 19, 13, 20, 2, 4, 14, 9, 6, 3, 16, 12, 17, 18, 1
Azul|0000765, 16, 14, 5, 1, 13, 9, 11, 12, 15, 4, 3, 6, 20, 19
Azul|0007654, 9, 12, 2, 3, 20, 1, 4, 19, 7, 15, 5, 18, 8, 13
Azul|7654321, 5, 10, 11, 20, 19, 15, 1, 6, 4, 18, 17, 12, 13, 3
Rojo|0011001, 20, 1, 11, 7, 15, 9, 3, 13, 16, 12, 19
Amarillo|1234567, 19, 12, 14, 1, 11, 9, 18, 13, 8, 5, 2, 4, 16, 2
Azul|0000007, 17, 13, 15, 3, 11, 12, 2, 18, 8, 6, 19, 10, 16, 7
Rojo|0044004, 15, 6, 10, 3, 18, 16, 9, 2, 19, 4, 5
Rojo|0055005, 20, 7, 2, 14, 6, 8, 17, 19, 9, 11, 5
Rojo|0077007, 19, 2, 10, 1, 6, 5, 14, 18, 11, 8, 4
